unix,open,high,low,close
1672574400,16544,16560,16544,16555
1672578000,16555,16559,16537,16541
1672581600,16544,16550,16540,16542
1672585200,16542,16546,16535,16546
1672588800,16546,16569,16546,16558
1672592400,16562,16586,16557,16572
1672596000,16573,16592,16573,16584
1672599600,16588,16612,16588,16597
1672603200,16597,16617,16594,16602
1672606800,16603,16603,16592,16602
1672610400,16603,16604,16590,16599
1672614000,16599,16622,16599,16615
1672617600,16615,16620,16584,16584
1672621200,16584,16584,16552,16561
1672624800,16560,16582,16556,16582
1672628400,16582,16688,16579,16661
1672632000,16660,16664,16630,16631
1672635600,16631,16648,16618,16641
1672639200,16642,16650,16633,16636
1672642800,16636,16746,16632,16718
1672646400,16716,16752,16710,16725
1672650000,16728,16738,16710,16712
1672653600,16712,16744,16706,16723
1672657200,16723,16730,16706,16730
1672660800,16730,16735,16718,16718
1672664400,16718,16719,16682,16688
1672668000,16689,16700,16672,16695
1672671600,16696,16739,16691,16727
1672675200,16732,16734,16708,16709
1672678800,16708,16715,16706,16709
1672682400,16709,16722,16704,16718
1672686000,16718,16728,16711,16727
1672689600,16728,16730,16706,16724
1672693200,16724,16782,16719,16751
1672696800,16753,16755,16690,16694
1672700400,16693,16716,16665,16673
1672704000,16668,16700,16655,16694
1672707600,16691,16691,16654,16672
1672711200,16672,16681,16668,16673
1672714800,16672,16694,16666,16689
1672718400,16690,16694,16682,16687
1672722000,16683,16720,16682,16720
1672725600,16720,16766,16720,16723
1672729200,16724,16727,16712,16727
1672732800,16727,16730,16699,16711
1672736400,16711,16748,16710,16736
1672740000,16741,16745,16722,16723
1672743600,16723,16728,16708,16716
1672747200,16715,16718,16702,16703
1672750800,16702,16728,16702,16723
1672754400,16722,16764,16646,16657
1672758000,16654,16676,16614,16673
1672761600,16672,16678,16611,16617
1672765200,16614,16632,16605,16620
1672768800,16621,16646,16621,16638
1672772400,16639,16645,16621,16635
1672776000,16635,16660,16635,16657
1672779600,16657,16666,16653,16658
1672783200,16660,16666,16648,16666
1672786800,16666,16684,16666,16670
1672790400,16673,16673,16652,16655
1672794000,16655,16718,16653,16695
1672797600,16695,16740,16695,16733
1672801200,16730,16867,16730,16860
1672804800,16865,16896,16850,16860
1672808400,16860,16860,16839,16850
1672812000,16850,16867,16845,16867
1672815600,16867,16876,16847,16867
1672819200,16867,16906,16840,16860
1672822800,16860,16863,16834,16841
1672826400,16841,16843,16836,16842
1672830000,16842,16847,16834,16834
1672833600,16834,16837,16776,16805
1672837200,16804,16828,16803,16822
1672840800,16823,16848,16794,16825
1672844400,16822,16847,16760,16847
1672848000,16847,16885,16829,16859
1672851600,16859,16931,16848,16890
1672855200,16890,16978,16874,16948
1672858800,16948,16984,16790,16833
1672862400,16832,16843,16778,16801
1672866000,16798,16821,16792,16821
1672869600,16821,16841,16809,16826
1672873200,16825,16861,16815,16849
1672876800,16847,16869,16828,16828
1672880400,16827,16843,16810,16834
1672884000,16833,16838,16826,16833
1672887600,16833,16833,16820,16823
1672891200,16824,16839,16818,16836
1672894800,16836,16851,16835,16843
1672898400,16843,16843,16811,16814
1672902000,16814,16818,16789,16818
1672905600,16819,16824,16794,16804
1672909200,16803,16807,16784,16801
1672912800,16801,16828,16798,16822
1672916400,16822,16831,16814,16830
1672920000,16831,16831,16816,16820
1672923600,16820,16825,16773,16773
1672927200,16775,16827,16755,16825
1672930800,16823,16871,16818,16840
1672934400,16840,16853,16818,16831
1672938000,16829,16835,16810,16810
1672941600,16809,16841,16798,16839
1672945200,16839,16869,16829,16860
1672948800,16860,16866,16845,16856
1672952400,16856,16859,16835,16845
1672956000,16845,16851,16831,16833
1672959600,16833,16842,16817,16826
1672963200,16826,16865,16821,16855
1672966800,16855,16858,16821,16822
1672970400,16822,16830,16802,16830
1672974000,16830,16834,16821,16830
1672977600,16830,16833,16808,16817
1672981200,16816,16817,16792,16806
1672984800,16802,16811,16780,16782
1672988400,16782,16794,16778,16784
1672992000,16784,16805,16784,16796
1672995600,16795,16796,16759,16782
1672999200,16782,16792,16760,16760
1673002800,16760,16765,16712,16733
1673006400,16733,16736,16713,16722
1673010000,16721,16802,16669,16768
1673013600,16768,16780,16717,16746
1673017200,16746,16835,16745,16834
1673020800,16834,16841,16804,16823
1673024400,16827,16835,16810,16813
1673028000,16814,16855,16814,16845
1673031600,16849,16956,16842,16935
1673035200,16935,17024,16888,16893
1673038800,16894,16942,16889,16930
1673042400,16932,16965,16932,16957
1673046000,16963,16975,16944,16950
1673049600,16951,16973,16940,16973
1673053200,16973,16975,16948,16949
1673056800,16949,16953,16937,16941
1673060400,16941,16953,16936,16951
1673064000,16951,16951,16937,16938
1673067600,16938,16939,16932,16934
1673071200,16933,16934,16924,16931
1673074800,16931,16946,16931,16946
1673078400,16946,16949,16928,16929
1673082000,16929,16929,16922,16928
1673085600,16928,16928,16914,16921
1673089200,16920,16920,16910,16918
1673092800,16917,16918,16907,16916
1673096400,16916,16928,16912,16916
1673100000,16915,16940,16908,16937
1673103600,16936,16943,16934,16936
1673107200,16936,16936,16917,16917
1673110800,16917,16930,16916,16929
1673114400,16929,16936,16928,16936
1673118000,16936,16942,16935,16940
1673121600,16940,16946,16936,16942
1673125200,16942,16946,16936,16939
1673128800,16939,16939,16931,16937
1673132400,16937,16946,16932,16945
1673136000,16946,16953,16915,16923
1673139600,16922,16934,16917,16929
1673143200,16929,16931,16920,16928
1673146800,16928,16938,16927,16938
1673150400,16938,16940,16937,16937
1673154000,16937,16942,16936,16942
1673157600,16942,16946,16936,16946
1673161200,16946,16951,16945,16950
1673164800,16951,16953,16943,16944
1673168400,16945,16961,16929,16933
1673172000,16934,16939,16932,16939
1673175600,16939,16939,16929,16929
1673179200,16929,16932,16924,16924
1673182800,16925,16933,16924,16932
1673186400,16931,16948,16931,16948
1673190000,16948,17009,16940,16998
1673193600,17001,17012,16919,16936
1673197200,16936,16946,16922,16926
1673200800,16925,16930,16922,16926
1673204400,16926,16935,16925,16929
1673208000,16929,16975,16926,16965
1673211600,16964,16981,16949,16954
1673215200,16954,16973,16953,16965
1673218800,16967,17163,16967,17119
1673222400,17124,17189,17108,17184
1673226000,17180,17212,17150,17178
1673229600,17176,17245,17166,17191
1673233200,17194,17211,17183,17199
1673236800,17199,17243,17198,17228
1673240400,17228,17250,17205,17208
1673244000,17208,17212,17184,17189
1673247600,17189,17209,17188,17203
1673251200,17202,17231,17187,17195
1673254800,17195,17264,17191,17240
1673258400,17240,17278,17238,17264
1673262000,17264,17276,17241,17241
1673265600,17240,17252,17231,17250
1673269200,17247,17290,17198,17225
1673272800,17225,17268,17211,17263
1673276400,17263,17328,17230,17271
1673280000,17270,17355,17270,17325
1673283600,17333,17373,17321,17359
1673287200,17359,17393,17329,17350
1673290800,17350,17350,17298,17298
1673294400,17296,17310,17185,17209
1673298000,17217,17246,17167,17178
1673301600,17179,17223,17167,17203
1673305200,17203,17204,17136,17179
1673308800,17177,17215,17176,17214
1673312400,17214,17230,17187,17193
1673316000,17193,17212,17147,17180
1673319600,17181,17206,17173,17206
1673323200,17205,17216,17198,17215
1673326800,17217,17230,17209,17226
1673330400,17225,17231,17193,17204
1673334000,17203,17208,17193,17198
1673337600,17200,17260,17191,17257
1673341200,17257,17272,17246,17249
1673344800,17248,17272,17238,17272
1673348400,17272,17279,17254,17256
1673352000,17254,17256,17220,17220
1673355600,17222,17253,17215,17244
1673359200,17246,17322,17220,17287
1673362800,17282,17368,17233,17328
1673366400,17329,17340,17290,17307
1673370000,17295,17341,17292,17331
1673373600,17330,17439,17327,17434
1673377200,17439,17452,17407,17431
1673380800,17435,17490,17407,17473
1673384400,17476,17489,17451,17467
1673388000,17463,17463,17426,17439
1673391600,17434,17451,17410,17446
1673395200,17448,17494,17434,17471
1673398800,17471,17504,17442,17460
1673402400,17460,17462,17390,17390
1673406000,17389,17427,17371,17419
1673409600,17419,17426,17398,17413
1673413200,17413,17435,17402,17409
1673416800,17409,17446,17395,17442
1673420400,17440,17458,17436,17449
1673424000,17449,17450,17412,17450
1673427600,17447,17468,17444,17446
1673431200,17448,17460,17441,17442
1673434800,17442,17455,17430,17438
1673438400,17435,17436,17406,17418
1673442000,17419,17435,17389,17415
1673445600,17414,17431,17379,17411
1673449200,17414,17432,17318,17328
1673452800,17328,17367,17325,17347
1673456400,17348,17394,17344,17383
1673460000,17382,17549,17382,17488
1673463600,17488,17551,17475,17549
1673467200,17551,17577,17514,17555
1673470800,17555,17572,17534,17559
1673474400,17561,17589,17519,17572
1673478000,17559,17992,17553,17930
1673481600,17948,18266,17911,18245
1673485200,18248,18284,18143,18232
1673488800,18225,18370,18183,18200
1673492400,18202,18236,18200,18224
1673496000,18226,18229,18199,18217
1673499600,18216,18234,18081,18086
1673503200,18090,18158,18090,18148
1673506800,18154,18172,18115,18137
1673510400,18134,18144,18073,18144
1673514000,18146,18168,18131,18167
1673517600,18167,18208,18145,18184
1673521200,18184,18216,18163,18206
1673524800,18199,18273,18178,18268
1673528400,18269,18334,17933,18291
1673532000,18290,18350,17936,17994
1673535600,17996,18135,17994,18090
1673539200,18087,18142,18060,18135
1673542800,18131,18877,18112,18840
1673546400,18820,18972,18619,18802
1673550000,18810,19036,18769,18898
1673553600,18895,19079,18830,19059
1673557200,19060,19114,18770,18830
1673560800,18836,18932,18788,18919
1673564400,18915,18916,18853,18853
1673568000,18852,18888,18720,18777
1673571600,18772,18816,18750,18808
1673575200,18810,18836,18791,18836
1673578800,18836,18879,18826,18879
1673582400,18877,18878,18824,18824
1673586000,18822,18836,18784,18790
1673589600,18789,18863,18785,18856
1673593200,18856,18857,18791,18824
1673596800,18828,18858,18816,18844
1673600400,18845,18931,18845,18913
1673604000,18909,19050,18865,19046
1673607600,19042,19042,18896,18922
1673611200,18917,18935,18818,18859
1673614800,18865,18899,18822,18858
1673618400,18857,19137,18841,19016
1673622000,19019,19304,19012,19267
1673625600,19279,19279,19075,19131
1673629200,19132,19389,19110,19259
1673632800,19260,19382,19260,19300
1673636400,19296,19370,19253,19364
1673640000,19365,19491,19326,19477
1673643600,19478,19898,19385,19814
1673647200,19818,19991,19799,19856
1673650800,19859,19938,19748,19931
1673654400,19936,21247,19895,20906
1673658000,20893,21095,20701,20937
1673661600,20933,21039,20841,20933
1673665200,20939,20982,20791,20969
1673668800,20969,21014,20889,20901
1673672400,20902,20914,20787,20840
1673676000,20840,20971,20840,20964
1673679600,20957,20967,20860,20901
1673683200,20900,21021,20881,21005
1673686800,21009,21009,20320,20521
1673690400,20520,20520,20244,20508
1673694000,20493,20744,20483,20732
1673697600,20729,20961,20587,20911
1673701200,20911,20983,20799,20942
1673704800,20939,21162,20575,20828
1673708400,20832,20866,20649,20785
1673712000,20781,20853,20756,20805
1673715600,20811,20908,20734,20762
1673719200,20749,20798,20667,20761
1673722800,20760,20866,20727,20795
1673726400,20791,20896,20766,20881
1673730000,20881,20944,20839,20900
1673733600,20903,21020,20869,20992
1673737200,20988,21070,20951,20960
1673740800,20961,21007,20647,20771
1673744400,20765,20791,20654,20775
1673748000,20780,20818,20677,20679
1673751600,20691,20741,20549,20730
1673755200,20726,20762,20688,20702
1673758800,20709,20786,20685,20749
1673762400,20749,20788,20713,20718
1673766000,20724,20738,20673,20738
1673769600,20737,20755,20602,20617
1673773200,20620,20752,20586,20752
1673776800,20744,20759,20701,20735
1673780400,20735,20743,20671,20728
1673784000,20721,20746,20662,20700
1673787600,20697,20846,20694,20714
1673791200,20711,20820,20694,20798
1673794800,20802,20994,20788,20921
1673798400,20926,20963,20863,20879
1673802000,20886,21052,20880,20923
1673805600,20923,20925,20677,20819
1673809200,20821,20900,20781,20873
1673812800,20880,20926,20844,20904
1673816400,20902,20931,20873,20905
1673820000,20904,20953,20765,20925
1673823600,20921,20921,20852,20885
1673827200,20879,21003,20785,20978
1673830800,20981,21315,20926,21195
1673834400,21190,21411,21136,21212
1673838000,21213,21233,21044,21082
1673841600,21091,21170,21054,21161
1673845200,21159,21217,21133,21200
1673848800,21196,21258,21123,21159
1673852400,21163,21164,21080,21118
1673856000,21119,21119,20691,20751
1673859600,20751,20844,20726,20837
1673863200,20833,20904,20810,20849
1673866800,20857,20867,20799,20823
1673870400,20827,20874,20791,20800
1673874000,20810,20872,20779,20826
1673877600,20826,20891,20763,20867
1673881200,20879,21048,20634,21000
1673884800,20997,21051,20925,21000
1673888400,21006,21158,20992,21106
1673892000,21106,21287,21064,21284
1673895600,21285,21402,21235,21310
1673899200,21321,21456,21219,21286
1673902800,21290,21290,21064,21135
1673906400,21134,21222,21132,21191
1673910000,21191,21228,21110,21189
1673913600,21186,21297,21075,21112
1673917200,21112,21147,20863,21050
1673920800,21045,21107,20993,21102
1673924400,21104,21166,21070,21126
1673928000,21127,21230,21107,21160
1673931600,21162,21187,21136,21147
1673935200,21151,21155,21072,21072
1673938800,21075,21174,21069,21137
1673942400,21138,21212,21135,21206
1673946000,21206,21245,21152,21177
1673949600,21176,21178,21090,21136
1673953200,21132,21232,21106,21226
1673956800,21228,21344,21198,21257
1673960400,21257,21269,21186,21235
1673964000,21232,21594,21065,21279
1673967600,21280,21378,21043,21187
1673971200,21173,21240,21087,21163
1673974800,21164,21243,21092,21228
1673978400,21229,21422,21194,21351
1673982000,21372,21385,21290,21341
1673985600,21342,21396,21271,21386
1673989200,21398,21409,21282,21320
1673992800,21316,21343,21217,21232
1673996400,21232,21274,21133,21134
1674000000,21136,21240,21115,21208
1674003600,21207,21261,21183,21236
1674007200,21249,21350,21159,21297
1674010800,21296,21377,21267,21267
1674014400,21264,21297,21233,21285
1674018000,21288,21316,21259,21314
1674021600,21318,21318,21252,21263
1674025200,21263,21312,21249,21310
1674028800,21311,21317,21219,21250
1674032400,21250,21280,21168,21233
1674036000,21233,21258,21171,21187
1674039600,21181,21237,21176,21209
1674043200,21205,21294,21205,21263
1674046800,21263,21465,21217,21415
1674050400,21416,21646,21324,21420
1674054000,21438,21548,20853,21029
1674057600,21028,21028,20358,20867
1674061200,20859,21123,20749,20882
1674064800,20874,21050,20843,20934
1674068400,20937,20977,20880,20898
1674072000,20899,20933,20675,20732
1674075600,20720,20833,20716,20780
1674079200,20779,20808,20629,20808
1674082800,20799,20811,20647,20670
1674086400,20678,20756,20678,20696
1674090000,20696,20771,20684,20710
1674093600,20716,20769,20654,20762
1674097200,20761,20806,20747,20750
1674100800,20745,20865,20745,20808
1674104400,20808,20847,20797,20812
1674108000,20815,20856,20804,20828
1674111600,20834,20844,20804,20811
1674115200,20822,20841,20766,20774
1674118800,20768,20802,20736,20796
1674122400,20796,20800,20756,20793
1674126000,20793,20793,20714,20738
1674129600,20739,20769,20694,20734
1674133200,20731,20806,20679,20783
1674136800,20783,20870,20721,20801
1674140400,20792,20952,20789,20877
1674144000,20876,20919,20833,20877
1674147600,20875,20941,20800,20841
1674151200,20848,21017,20834,20981
1674154800,20981,21130,20955,21093
1674158400,21095,21185,21050,21103
1674162000,21105,21113,20944,20946
1674165600,20945,21085,20944,21072
1674169200,21072,21125,21025,21086
1674172800,21085,21120,21033,21055
1674176400,21059,21143,21020,21123
1674180000,21121,21220,21091,21091
1674183600,21090,21114,21071,21095
1674187200,21095,21128,20981,20997
1674190800,20992,21034,20962,20988
1674194400,20983,20994,20934,20944
1674198000,20944,20998,20869,20970
1674201600,20968,20985,20911,20948
1674205200,20948,20991,20916,20962
1674208800,20962,20967,20920,20965
1674212400,20965,20985,20942,20965
1674216000,20964,21123,20962,21097
1674219600,21096,21143,21047,21060
1674223200,21060,21161,21023,21152
1674226800,21151,21242,21114,21144
1674230400,21150,21416,21148,21304
1674234000,21323,21409,21288,21361
1674237600,21370,21435,21300,21391
1674241200,21396,21530,21366,21505
